   0.97914192  0.02117187  0.06044039
   0.59948391  0.95581987  0.04228326
   0.97720359  0.48041622  0.02810714
   0.48577933  0.47646690  0.01081579
   0.04398462  0.99292744  0.57416481
   0.45785230  0.03399349  0.53780033
   0.97383698  0.46476379  0.54502951
   0.52474578  0.49783463  0.48230047
   0.19162052  0.26907041  0.00272407
   0.75675679  0.25201828  0.02575308
   0.29028582  0.71326802  0.03090073
   0.75749833  0.71129119  0.93026122
   0.26193541  0.29620809  0.49521751
   0.75676281  0.21694561  0.53344873
   0.22232692  0.73891724  0.47976850
   0.81497661  0.72016033  0.53386797
   0.24176602  0.93586720  0.21056517
   0.74994774  0.00463929  0.34678393
   0.22595870  0.49514553  0.24912944
   0.74580462  0.45548306  0.23380519
   0.32282351  0.00598090  0.89093589
   0.75948023  0.97337656  0.77247068
   0.24702142  0.49835415  0.75526584
   0.72442298  0.48465341  0.77593933
   0.00130430  0.21688548  0.29595943
   0.43052267  0.17121778  0.18545093
   0.90865228  0.77340683  0.25423064
   0.53182118  0.78068891  0.31838825
   0.01135542  0.22108992  0.73886999
   0.53536115  0.24709239  0.76491220
   0.02668530  0.71357205  0.77848920
   0.49106025  0.75439884  0.71400859
   0.00722809  0.98330587  0.02854174
   0.58618345  0.96240256  0.04394722
   0.96588574  0.50554925  0.03651826
   0.44261153  0.43779767  0.99820088
   0.06682944  0.97858436  0.58305111
   0.41757147  0.01142272  0.52453205
   0.95425449  0.45345206  0.55620494
   0.53263806  0.46697452  0.48316373
   0.18044828  0.23841166  0.00898301
   0.78151866  0.23622059  0.05287106
   0.28484628  0.69483173  0.98981816
   0.73139683  0.74075276  0.94846078
   0.21698276  0.26029199  0.50533217
   0.75164841  0.20124224  0.53801593
   0.21584905  0.71572943  0.50900511
   0.79677798  0.72258191  0.53934273
   0.26722493  0.91517084  0.22826574
   0.77402250  0.01260477  0.29009441
   0.20959333  0.49670008  0.23003200
   0.77693348  0.44033304  0.26320208
   0.32020102  0.00176057  0.87566990
   0.74675478  0.97836306  0.74600149
   0.27779585  0.49418971  0.74617483
   0.73186699  0.47948499  0.79581972
   0.99093226  0.23248306  0.30161316
   0.42181444  0.17677622  0.21611438
   0.89347128  0.73297969  0.24702948
   0.56831076  0.75448609  0.33021468
   0.01715216  0.20095187  0.75884977
   0.53254843  0.23622468  0.74835620
   0.02293581  0.65352424  0.77583882
   0.51071233  0.76473090  0.72940836
   0.00915387  0.99561415  0.02027960
   0.58001315  0.95747655  0.04799956
   0.97900615  0.50501960  0.04802830
   0.49547669  0.44959878  0.00062731
   0.05516029  0.98557376  0.58523929
   0.38258982  0.98746972  0.54999561
   0.96668838  0.44421421  0.56533846
   0.49656908  0.45793760  0.51777476
   0.18574829  0.27307738  0.01148939
