     -0.00000      0.00000     25.40436         0.000000      0.000000     -0.006178
      1.28374      1.28374     23.63645        -0.000000      0.000000     -0.007837
     -0.00000      0.00000     21.80547        -0.000000      0.000000     -0.004223
      1.28374      1.28374     19.97610        -0.000000      0.000000     -0.000682
     -0.00000     -0.00000     18.14910        -0.000000     -0.000000      0.000682
      1.28374      1.28374     16.31974         0.000000     -0.000000      0.004223
      0.00000     -0.00000     14.48875        -0.000000     -0.000000      0.007837
      1.28374      1.28374     12.72084        -0.000000     -0.000000      0.006178
     -0.00000      0.00000     23.04230        -0.000000     -0.000000     -0.008306
      1.28374      1.81549     21.88460        -0.000000     -0.000000     -0.008250
      0.00000      0.00000     20.53792         0.000000     -0.000000      0.000590
      1.28374      1.81549     19.26853         0.000000     -0.000000      0.009797
     -0.00000     -0.00000     17.97000        -0.000000      0.000000      0.003658
      1.28374      1.81549     16.69104         0.000000      0.000000     -0.003658
      0.00000     -0.00000     15.39251        -0.000000      0.000000     -0.009797
      1.28374      1.81549     14.12313        -0.000000     -0.000000     -0.000590
      0.00000     -0.00000     12.77644         0.000000      0.000000      0.008250
      1.28374      1.81549     11.61874         0.000000      0.000000      0.008306
      3.85123      2.22351      0.01372         0.000000      0.000000      0.003648
      2.56749      1.48234      2.09380        -0.000000     -0.000000     -0.005639
      1.28374      0.74117      4.18941         0.000000      0.000000      0.000105
      3.85123      2.22351      6.29229        -0.000000     -0.000000     -0.000105
      2.56749      1.48234      8.38790         0.000000      0.000000      0.005639
      1.28374      0.74117     10.46798        -0.000000     -0.000000     -0.003648
      1.81549      0.82681      1.58211         0.000000     -0.002368     -0.007091
      1.81549      4.04136      0.13797         0.000000     -0.002390     -0.002126
      3.63097      2.43406      0.82086         0.000000     -0.001399     -0.004576
      1.81549      3.22661      2.45247         0.000000     -0.000746     -0.000982
      1.81549      2.43391      4.87622        -0.000000      0.000951     -0.003087
      3.63097      1.60712      3.25606        -0.000000      0.001273     -0.002513
      3.63097      4.05536      4.05712        -0.000000      0.002808     -0.007717
      3.63097      0.80947      5.68583         0.000000     -0.001654      0.002558
      5.44646      4.06374      8.12153         0.000000     -0.002808      0.007717
      3.63097      3.25008      6.49282        -0.000000      0.001654     -0.002558
      1.81549      1.62564      7.30243         0.000000     -0.000951      0.003087
      3.63097      2.45243      8.92259         0.000000     -0.001273      0.002513
      3.63097      1.62549     11.35779        -0.000000      0.001399      0.004576
      1.81549      0.83294      9.72618        -0.000000      0.000746      0.000982
      5.44646      3.23274     10.59654        -0.000000      0.002368      0.007091
      3.63097      4.07774     12.04068        -0.000000      0.002390      0.002126
      0.00000      6.25345      0.12048        -0.000000      0.001395     -0.002485
      0.00000      2.12365      1.42492        -0.000000     -0.000343      0.005613
      1.28374      0.04094      2.23986        -0.000000     -0.005250      0.002129
      1.28374      4.19701      0.75957        -0.000000      0.001000      0.004057
     -0.00000      4.19182      2.96676        -0.000000      0.002797      0.003997
      0.00000      6.28562      4.44458        -0.000000      0.003677      0.004860
      1.28374      4.18961      5.19013         0.000000     -0.000769     -0.000510
      1.28374      2.10192      3.70027        -0.000000      0.000414     -0.002727
      0.00000      2.09434      5.92746         0.000000     -0.000166     -0.000797
      0.00000      4.19226      7.41438        -0.000000      0.000133     -0.003338
      1.28374      2.09834      8.15475        -0.000000      0.000166      0.000797
      1.28374      0.00042      6.66783         0.000000     -0.000133      0.003338
      0.00000      0.00308      8.89206        -0.000000      0.000769      0.000510
      0.00000      2.09076     10.38195         0.000000     -0.000414      0.002727
      1.28374      0.00087     11.11545         0.000000     -0.002797     -0.003997
      1.28374      4.19609      9.63764         0.000000     -0.003677     -0.004860
      0.00000      4.15175     11.84233         0.000000      0.005250     -0.002129
     -0.00000      6.28471     13.32265         0.000000     -0.001000     -0.004057
      1.28374      4.22827     13.96174         0.000000     -0.001395      0.002485
      1.28374      2.06903     12.65730         0.000000      0.000343     -0.005613
     -0.00000     -0.82015     24.08973         0.000000     -0.003479     -0.001955
     -0.00000      3.39763     23.00136        -0.000000     -0.001812      0.003029
      1.28374      5.50668     22.43718         0.000000      0.001247      0.000494
      1.28374      1.28179     23.56386         0.000000      0.001622     -0.000769
     -0.00000     -0.02294     21.74911         0.000000     -0.001972     -0.002583
      0.00000      4.28519     20.57901        -0.000000     -0.002512     -0.001873
      1.28374      6.40794     19.96452         0.000000      0.001713      0.001746
      1.28374      2.14084     21.17486         0.000000     -0.000018      0.002419
      0.00000      0.85882     19.36167         0.000000      0.000552      0.000226
      0.00000      5.13019     18.14944        -0.000000     -0.000835     -0.000043
      1.28374     -0.43090     17.55321        -0.000000     -0.000552     -0.000226
      1.28374      3.00018     18.76544         0.000000      0.000835      0.000043
      0.00000      1.72243     16.95036        -0.000000     -0.001713     -0.001746
      0.00000      5.98953     15.74002        -0.000000      0.000018     -0.002419
      1.28374      0.45085     15.16577        -0.000000      0.001972      0.002583
      1.28374      3.84517     16.33587         0.000000      0.002512      0.001873
     -0.00000      2.62369     14.47770        -0.000000     -0.001247     -0.000494
     -0.00000      6.84858     13.35102        -0.000000     -0.001622      0.000769
      1.28374      1.24806     12.82515        -0.000000      0.003479      0.001955
      1.28374      4.73274     13.91352         0.000000      0.001812     -0.003029
     -0.00000      1.16349      2.31390         0.000000      0.003712     -0.001475
      0.00000      3.42945      1.13024         0.000000     -0.002396     -0.001366
     -0.00000      0.03848      0.14335         0.000000     -0.000894      0.000781
      1.81549      5.12128      1.67944        -0.000000      0.002981     -0.001757
      1.81549      1.71802      0.64918         0.000000      0.002361      0.002170
